definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
something arranged in advance,prearrangement,"""a promise or agreement to do something in the future.""
The word ""despite"" is defined as ""in spite of.""
The","[""The funeral home had everything in place according to the couple's <nonce>, so their children wouldn't have to worry about the details during their time of grief."", 'Despite the <nonce>, the sudden downpour disrupted their outdoor wedding ceremony.']","Given the following examples: The funeral home had everything in place according to the couple's <nonce>, so their children wouldn't have to worry about the details during their time of grief.
Despite the <nonce>, the sudden downpour disrupted their outdoor wedding ceremony., the word ""<nonce>"" is defined as",0.0,0.16666666666666669,0.43672630190849304
something arranged in advance,prearrangement,"""the act of making someone feel ashamed or foolish.""
The word ""humiliation"" is defined as ""the act of making someone","['Due to their meticulous <nonce>, the siblings managed to surprise their parents with a grand golden anniversary celebration.', 'Despite the <nonce>, the sudden downpour disrupted their outdoor wedding ceremony.']","The word ""<nonce>"" is defined as",0.0,0.0,0.39317044615745544
brown rat commonly found in sewers,sewer rat,"""a small, nocturnal, burrowing mammal of the family Talpidae, having a long, pointed snout,","['In the dimly lit alleyway, the scruffy <nonce> scurried away with a discarded pizza crust clutched tightly in its tiny claws.', 'The quick, nimble <nonce> scurried through the labyrinth of dingy tunnels beneath the bustling city, undeterred by the damp darkness.']","Given the following examples: In the dimly lit alleyway, the scruffy <nonce> scurried away with a discarded pizza crust clutched tightly in its tiny claws.
The quick, nimble <nonce> scurried through the labyrinth of dingy tunnels beneath the bustling city, undeterred by the damp darkness., the word ""<nonce>"" is defined as",0.0,0.0,0.4287240505218506
brown rat commonly found in sewers,sewer rat,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","[""In the dimly lit alley, the scrawny cat crouched low, eyeing the <nonce> that scurried amongst the discarded garbage with a predator's intense focus."", 'Despite the luxurious decor of the penthouse, the presence of a single <nonce> scurrying across the marble floor was enough to make her recoil in disgust.']","The word ""<nonce>"" is defined as",0.0,0.0,0.37357378005981445
relating to events after a marriage,postnuptial,"""a contract between a husband and wife in which each agrees to give up certain rights in the event of divorce.""
The word ""ag","['Overwhelmed by the sudden wealth of her husband, Lily decided to consult her lawyer about a <nonce> agreement.', 'Joan and Paul, realizing their financial disparities, agreed to sign a <nonce> agreement to ensure equity in their relationship.']","Given the following examples: Overwhelmed by the sudden wealth of her husband, Lily decided to consult her lawyer about a <nonce> agreement.
Joan and Paul, realizing their financial disparities, agreed to sign a <nonce> agreement to ensure equity in their relationship., the word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.49953198432922363
relating to events after a marriage,postnuptial,"""to make a person or thing the legal owner of (something)"".
The word ""slavery"" is defined as ""the state of","['Despite the initial resistance, they both agreed a <nonce> agreement would protect their individual assets and offer peace of mind in the long run.', 'Overwhelmed by the sudden wealth of her husband, Lily decided to consult her lawyer about a <nonce> agreement.']","The word ""<nonce>"" is defined as",0.0,0.15384615384615383,0.4169444441795349
erect plant with tuberous roots and terminal panicles of red to yellow flowers; southwestern North America to Central America; widely introduced elsewhere,jewels-of-opar,"""a plant of the genus Rhus, having clusters of small greenish flowers and sharp-pointed leaves.""
The word ""spectacle""","['Her garden was a vibrant spectacle, illuminated by the soft pink glow of the <nonce> that swayed gently in the summer breeze.', ""Gleaming with the setting sun's last kiss, the <nonce> in her garden added a magical warmth to the landscape.""]","Given the following examples: Her garden was a vibrant spectacle, illuminated by the soft pink glow of the <nonce> that swayed gently in the summer breeze.
Gleaming with the setting sun's last kiss, the <nonce> in her garden added a magical warmth to the landscape., the word ""<nonce>"" is defined as",0.0,0.14634146341463414,0.5354490876197815
erect plant with tuberous roots and terminal panicles of red to yellow flowers; southwestern North America to Central America; widely introduced elsewhere,jewels-of-opar,"""a small, round, flat cake of bread, usually baked in a mold.""
The word ""mold"" is defined as","['As she walked through the botanical garden, she marveled at the radiant hues of the <nonce>, their delicate blossoms shimmering in the morning sunlight.', 'The afternoon sun made the clusters of tiny, pink <nonce> in her garden shimmer like a rose quartz gemstone.']","The word ""<nonce>"" is defined as",0.0,0.049999999999999996,0.40959101915359497
important food fish of the northern Pacific,Pacific herring,"a fish.
The word ""churning"" is defined as to move or stir in a turbulent or agitated manner.
The","['Swooping down from the grey, overcast sky, the seagull skillfully snatched a <nonce> from the churning waves.', 'As the sun began to set, the fisherman pulled out a gleaming <nonce>, its silvery scales reflecting the warm hues of the twilight sky.']","Given the following examples: Swooping down from the grey, overcast sky, the seagull skillfully snatched a <nonce> from the churning waves.
As the sun began to set, the fisherman pulled out a gleaming <nonce>, its silvery scales reflecting the warm hues of the twilight sky., the word ""<nonce>"" is defined as",0.0,0.15384615384615385,0.40588876605033875
important food fish of the northern Pacific,Pacific herring,"""a person who is a burden to others.""
The word ""burden"" is defined as ""a load or weight that is difficult or","['As the sun began to set, painting the sky in hues of pink and orange, the fisherman hauled in his net, brimming with squirming <nonce>.', ""The fisherman's net burst with the weight of the <nonce>, their silver bodies glittering in the dawn light.""]","The word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.3852556049823761
having a projecting lower jaw,prognathous,"""having a rough surface.""
The professor observed the rough surface of the ancient skull, confirming its prehistoric origin.
The","['The professor observed the <nonce> jawline of the ancient skull, confirming its prehistoric origin.', 'The archaeologist was fascinated by the <nonce> jaw of the ancient skull, a feature usually common among early hominids.']","Given the following examples: The professor observed the <nonce> jawline of the ancient skull, confirming its prehistoric origin.
The archaeologist was fascinated by the <nonce> jaw of the ancient skull, a feature usually common among early hominids., the word ""<nonce>"" is defined as",0.0,0.16666666666666666,0.4989226460456848
having a projecting lower jaw,prognathous,"""having a rough or uneven surface."" The word ""smooth"" is defined as ""free from roughness or irregularities.""
The","['The protagonist, a burly detective with a <nonce> jaw, keenly observed the crime scene, his dark eyes missing no detail.', 'His <nonce> jaw gave his face a striking, almost prehistoric quality that was impossible to ignore.']","The word ""<nonce>"" is defined as",0.0,0.1739130434782609,0.40194132924079895
someone whose occupation is to apply an overlay of gold or gilt,gilder,"""a person who makes or repairs objects of gold or silver.""
The word ""gold"" is defined as ""a precious yellow metal","['As dawn broke, the <nonce> delicately applied thin layers of gold leaf to the ornate picture frame, transforming it into a radiant masterpiece.', 'As the sun began to set, casting a golden hue across the sky, the dedicated <nonce> painstakingly applied thin sheets of gold leaf to the ornate picture frame, highlighting its intricate details.']","Given the following examples: As dawn broke, the <nonce> delicately applied thin layers of gold leaf to the ornate picture frame, transforming it into a radiant masterpiece.
As the sun began to set, casting a golden hue across the sky, the dedicated <nonce> painstakingly applied thin sheets of gold leaf to the ornate picture frame, highlighting its intricate details., the word ""<nonce>"" is defined as",0.0,0.18181818181818182,0.5703153014183044
someone whose occupation is to apply an overlay of gold or gilt,gilder,"""a person who is a member of a religious order, especially a monk or nun.""
The word ""monk"" is defined as ""","['The meticulous <nonce>, under the soft glow of his workshop lamp, gently applied thin sheets of gold leaf to the ornate picture frame, transforming it into a work of art.', 'As dawn broke, the <nonce> delicately applied thin layers of gold leaf to the ornate picture frame, transforming it into a radiant masterpiece.']","The word ""<nonce>"" is defined as",0.0,0.18181818181818182,0.5150400400161743
salamanders; newts; congo snakes,Urodella,"""a small, soft-bodied, usually aquatic animal that has no backbone and breathes through gills.""
The word ""","['With a fascination for <nonce> species, the biologist spent hours observing their behavior in the murky pond.', 'In the hush of the damp forest, the diverse array of <nonce> could be seen wriggling under fallen leaves and between moss-covered rocks.']","Given the following examples: With a fascination for <nonce> species, the biologist spent hours observing their behavior in the murky pond.
In the hush of the damp forest, the diverse array of <nonce> could be seen wriggling under fallen leaves and between moss-covered rocks., the word ""<nonce>"" is defined as",0.0,0.0,0.36086320877075195
salamanders; newts; congo snakes,Urodella,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","[""Among the quiet murmur of the forest, the flashing colors of a <nonce> caught the explorer's eye, its slender form slipping swiftly between the shadows of undergrowth."", 'While hiking through the dense forest, she came across a small, hidden pond teeming with <nonce>, their slick bodies shimmering under the dappled sunlight.']","The word ""<nonce>"" is defined as",0.0,0.0,0.32399430871009827
oceanic sharks,Lamnidae,"""a marine invertebrate of the class Cephalopoda, having a soft body enclosed in a bony or horny shell,","['The marine biologist spent years studying the diverse species within the <nonce> family, fascinated by their strength and adaptability in the harsh oceanic environment.', 'The marine biologist spent his entire career studying and protecting the diverse species within the <nonce> family.']","Given the following examples: The marine biologist spent years studying the diverse species within the <nonce> family, fascinated by their strength and adaptability in the harsh oceanic environment.
The marine biologist spent his entire career studying and protecting the diverse species within the <nonce> family., the word ""<nonce>"" is defined as",0.0,0.0,0.3362143635749817
oceanic sharks,Lamnidae,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","['The marine biologist spent his entire career studying and protecting the diverse species within the <nonce> family.', 'As he glided through the ocean blue, the shark, a majestic member of the <nonce> family, was a breathtaking sight to behold.']","The word ""<nonce>"" is defined as",0.0,0.0,0.24539151787757874
the part of the ear that is responsible for sensations of sound,organ of hearing,"""the part of the brain that is responsible for the perception of smell, taste, and emotions.""
The word ""emotion""","[""The symphony's melodies wrapped around him, stirring an intoxicating emotion deep within his <nonce>."", ""The concert pianist's fingers danced across the keys, producing a melody that was a feast for the <nonce>.""]","Given the following examples: The symphony's melodies wrapped around him, stirring an intoxicating emotion deep within his <nonce>.
The concert pianist's fingers danced across the keys, producing a melody that was a feast for the <nonce>., the word ""<nonce>"" is defined as",0.18627639656696823,0.5806451612903226,0.6780290007591248
the part of the ear that is responsible for sensations of sound,organ of hearing,"""a state of being in which the mind is concentrated on a single object or thought.""
The word ""meditation"" is defined as ""","[""The symphony's melodies wrapped around him, stirring an intoxicating emotion deep within his <nonce>."", 'As a concert pianist, he found a deep appreciation for the complex melodies that flowed directly into his <nonce>.']","The word ""<nonce>"" is defined as",0.0,0.1764705882352941,0.4747939705848694
ignition of a substance (as oily rags) resulting from an internal oxidation process,spontaneous combustion,"""the act of destroying or damaging something.""
The word ""sift"" is defined as ""to separate or sort by passing through a","['As they sifted through the charred remnants of the attic, the investigators could only conclude that the old collection of newspapers was victim to <nonce>.', 'The old book, filled with dusty pages and ancient knowledge, met its unexpected end through <nonce> in the quiet library.']","Given the following examples: As they sifted through the charred remnants of the attic, the investigators could only conclude that the old collection of newspapers was victim to <nonce>.
The old book, filled with dusty pages and ancient knowledge, met its unexpected end through <nonce> in the quiet library., the word ""<nonce>"" is defined as",0.0,0.11764705882352941,0.4511728286743164
ignition of a substance (as oily rags) resulting from an internal oxidation process,spontaneous combustion,"""the act of making someone feel sick or ill.""
The word ""nauseous"" is defined as ""causing nausea.""
","['The barn, once filled with nothing more than hay and farm equipment, became an inferno due to a rare instance of <nonce>.', 'The old, tattered manuscript, subjected to years of neglect and harsh conditions, finally succumbed to <nonce> in the sweltering heat of the attic.']","The word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.41453778743743896
a national park in Alaska having mountains and whale watching and ancient Indian copper mines,Kenai Fjords National Park,"""a glacier-carved valley in Alaska.""
The breathtaking vista of glaciers, mountains, and pristine","['The breathtaking vista of glaciers, mountains, and pristine waters at <nonce> left a lasting imprint on my soul.', 'Beneath the canvas of northern lights, the icy expanse of <nonce> glistened majestically in the Alaskan wilderness.']","Given the following examples: The breathtaking vista of glaciers, mountains, and pristine waters at <nonce> left a lasting imprint on my soul.
Beneath the canvas of northern lights, the icy expanse of <nonce> glistened majestically in the Alaskan wilderness., the word ""<nonce>"" is defined as",0.0,0.3448275862068965,0.5542379021644592
a national park in Alaska having mountains and whale watching and ancient Indian copper mines,Kenai Fjords National Park,"""a place of refuge or shelter."" The word ""sanctuary"" is defined as ""a place of refuge or shelter."" The word ""sh","['The breathtaking vista of glaciers, mountains, and pristine waters at <nonce> left a lasting imprint on my soul.', 'Beneath the canvas of northern lights, the icy expanse of <nonce> glistened majestically in the Alaskan wilderness.']","The word ""<nonce>"" is defined as",0.0,0.05555555555555555,0.3151126205921173
attack with delayed release bombs,skip-bomb,"a ""missile"" or ""rocket"" in the dictionary.
The word ""swooped"" is defined as ""to fly low and","[""In the throes of the historical war documentary, the veterans recounted the ghastly image of the enemy's <nonce> skimming over the placid surface of the lake before it detonated in a fiery explosion."", 'As the aircraft swooped low over the glassy lake, the pilot expertly released the <nonce>, watching it bounce over the water surface towards the looming enemy fortress.']","Given the following examples: In the throes of the historical war documentary, the veterans recounted the ghastly image of the enemy's <nonce> skimming over the placid surface of the lake before it detonated in a fiery explosion.
As the aircraft swooped low over the glassy lake, the pilot expertly released the <nonce>, watching it bounce over the water surface towards the looming enemy fortress., the word ""<nonce>"" is defined as",0.0,0.0,0.38267529010772705
attack with delayed release bombs,skip-bomb,"""a person who is a nuisance or pest.""
The word ""narcissist"" is defined as ""a person who is","[""With a pulse-racing excitement, the pilot engaged the mission, launching the <nonce> across the shimmering lake, watching as it ricocheted off the water's surface before finding its target."", ""As the enemy ship drew closer, the pilot expertly deployed a <nonce>, watching with satisfaction as it danced across the water's surface.""]","The word ""<nonce>"" is defined as",0.0,0.0,0.3286978006362915
low scrubby tree of tropical and subtropical North America having white flowers tinged with yellow resembling mimosa and long flattened pods,lead tree,"""a tree with a rough, knotty, or twisted trunk.""
The word ""gnarled"" is defined as ""tw","['The goats grazed contentedly beneath the gnarled branches of the ancient <nonce>, oblivious to the world moving rapidly around them.', 'She carefully hung the delicate crystal ornaments on the gnarled branches of the <nonce>, their shimmering reflections dancing in the moonlight.']","Given the following examples: The goats grazed contentedly beneath the gnarled branches of the ancient <nonce>, oblivious to the world moving rapidly around them.
She carefully hung the delicate crystal ornaments on the gnarled branches of the <nonce>, their shimmering reflections dancing in the moonlight., the word ""<nonce>"" is defined as",0.0,0.1081081081081081,0.3968150019645691
low scrubby tree of tropical and subtropical North America having white flowers tinged with yellow resembling mimosa and long flattened pods,lead tree,"""a small, dark, and usually unpleasant person.""
The word ""mud"" is defined as ""a soft, wet, stick","['After the hurricane, the only thing left standing on the desolate landscape was a solitary, resilient <nonce>.', 'The goats grazed contentedly beneath the gnarled branches of the ancient <nonce>, oblivious to the world moving rapidly around them.']","The word ""<nonce>"" is defined as",0.0,0.05263157894736842,0.42011284828186035
veins in the neck that return blood from the head,jugular vein,"""the part of the face between the eyes and the ears.""
The word ""pulsating"" is defined as ""beating or throbb","['The vampire, with an insatiable thirst, sunk his fangs into the pulsating <nonce> of his hapless victim.', 'As the vampire bared its fangs, it menacingly aimed for her exposed <nonce>.']","Given the following examples: The vampire, with an insatiable thirst, sunk his fangs into the pulsating <nonce> of his hapless victim.
As the vampire bared its fangs, it menacingly aimed for her exposed <nonce>., the word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.46151310205459595
veins in the neck that return blood from the head,jugular vein,"""a small, round, hard, yellowish spot on the skin, caused by a fungus.""
The word ""mushroom"" is","[""The vampire story became more vivid as the author described the creature's fangs sinking into the victim's <nonce>."", 'The vampire, with an insatiable thirst, sunk his fangs into the pulsating <nonce> of his hapless victim.']","The word ""<nonce>"" is defined as",0.0,0.14814814814814817,0.4519440233707428
heater that burns oil (as kerosine) for heating or cooking,oil heater,"""a stove or furnace for heating a room or building.""
The word ""comfort"" is defined as ""a feeling of physical","['As the chill of winter crept in, Mary found comfort in the soft hum and radiant warmth of the old <nonce> in her study.', 'In the frosty heart of winter, the old man found comfort as he huddled next to the humming <nonce>, his wrinkled hands stretching towards its generous warmth.']","Given the following examples: As the chill of winter crept in, Mary found comfort in the soft hum and radiant warmth of the old <nonce> in her study.
In the frosty heart of winter, the old man found comfort as he huddled next to the humming <nonce>, his wrinkled hands stretching towards its generous warmth., the word ""<nonce>"" is defined as",0.0,0.2,0.5378797054290771
heater that burns oil (as kerosine) for heating or cooking,oil heater,"""a small, usually round, piece of wood, bone, or metal, used as a handle or for striking.""
The word ""c","[""As the winter chill seeped through the old farmhouse's thin walls, the family huddled closer to the humming <nonce>, their only source of warmth in the frosty night."", 'As the chill of winter crept in, Mary found comfort in the soft hum and radiant warmth of the old <nonce> in her study.']","The word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.5216920971870422
a presocratic Athenian philosopher who maintained that everything is composed of very small particles that were arranged by some eternal intelligence (500-428 BC),Anaxagoras,"""the philosophical teachings of Socrates, Plato, and Aristotle.
The philosophical teachings of Socrates,","['The philosophical ideas of <nonce> have greatly influenced the realm of metaphysics and cosmology, challenging the minds of thinkers for centuries.', 'The philosophical teachings of <nonce> greatly influenced the intellectual landscape of ancient Greece.']","Given the following examples: The philosophical ideas of <nonce> have greatly influenced the realm of metaphysics and cosmology, challenging the minds of thinkers for centuries.
The philosophical teachings of <nonce> greatly influenced the intellectual landscape of ancient Greece., the word ""<nonce>"" is defined as",0.0,0.05405405405405406,0.40103718638420105
a presocratic Athenian philosopher who maintained that everything is composed of very small particles that were arranged by some eternal intelligence (500-428 BC),Anaxagoras,"""a person who is a member of a religious order that is dedicated to the contemplative life and to the service of the church."" The word","['The philosophical ideas of <nonce> have greatly influenced the realm of metaphysics and cosmology, challenging the minds of thinkers for centuries.', 'The philosophical teachings of <nonce> greatly influenced the intellectual landscape of ancient Greece.']","The word ""<nonce>"" is defined as",0.0,0.2,0.48147350549697876
a genus of bacteria,genus Escherichia,"a ""fungus that grows on the skin of humans and animals and causes a rash.""
The lab technician carefully prepared the samples of","['The lab technician carefully prepared the samples of <nonce> for further microscopic examination.', 'The lab technician carefully prepared the petri dish for the culture of <nonce>, taking extra precautions to prevent contamination.']","Given the following examples: The lab technician carefully prepared the samples of <nonce> for further microscopic examination.
The lab technician carefully prepared the petri dish for the culture of <nonce>, taking extra precautions to prevent contamination., the word ""<nonce>"" is defined as",0.0,0.14814814814814817,0.4901714026927948
a genus of bacteria,genus Escherichia,"""a person who is a nuisance or pest."" The word ""pest"" is defined as ""a person or thing that is anno","['The lab results indicated that the contaminated water sample contained a high concentration of the <nonce>, causing alarm among the researchers.', 'The scientist carefully extracted a sample from the petri dish, noting the rapid growth of the <nonce> under the microscope.']","The word ""<nonce>"" is defined as",0.0,0.08,0.40662655234336853
the occurrence of related organisms in separate geographical areas with no overlap,allopatry,"""the process of evolutionary change by which new species arise.""
The word ""evolution"" is defined as ""the process of change in a","['Due to the <nonce> between the two bird species, they have evolved distinctly without any genetic mixing.', 'In the lush Amazon rainforest, the diverse bird species evolved in <nonce>, separated by the serpentine rivers and vast mountain ranges.']","Given the following examples: Due to the <nonce> between the two bird species, they have evolved distinctly without any genetic mixing.
In the lush Amazon rainforest, the diverse bird species evolved in <nonce>, separated by the serpentine rivers and vast mountain ranges., the word ""<nonce>"" is defined as",0.0,0.1764705882352941,0.4408017694950104
the occurrence of related organisms in separate geographical areas with no overlap,allopatry,"""the act of leaving a place or position."" The word ""abandon"" is defined as ""to leave or forsake."" The word ""","['Due to the <nonce> between the two bird species, they have evolved distinctly without any genetic mixing.', 'In the lush Amazon rainforest, the diverse bird species evolved in <nonce>, separated by the serpentine rivers and vast mountain ranges.']","The word ""<nonce>"" is defined as",0.0,0.125,0.3910892605781555
a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order,chromosome,"""a substance that is produced by a living organism and is essential for life.""
The word ""complex"" is defined as ""composed","['The scientist carefully analyzed the <nonce>, seeking the genetic sequence that might unlock the cure for the rare disease.', 'Hereditary traits passed from generation to generation are deeply ingrained within the complex structure of each <nonce>.']","Given the following examples: The scientist carefully analyzed the <nonce>, seeking the genetic sequence that might unlock the cure for the rare disease.
Hereditary traits passed from generation to generation are deeply ingrained within the complex structure of each <nonce>., the word ""<nonce>"" is defined as",0.0,0.15789473684210528,0.4970553517341614
a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order,chromosome,"""a person who is a member of a group that is socially, politically, or economically disadvantaged.""
The word ""","['Hereditary traits passed from generation to generation are deeply ingrained within the complex structure of each <nonce>.', ""The forensic scientist carefully analyzed the <nonce> in the DNA sample, hoping to uncover the secrets they held about the suspect's identity.""]","The word ""<nonce>"" is defined as",0.0,0.22857142857142856,0.4271996021270752
New World lizards,Iguanidae,"""a reptile of the order Squamata, including snakes, lizards, and amphisbaenians.""
","['Exploring the lush rainforest, I was thrilled to see the diverse array of <nonce> darting amongst the verdant foliage.', 'As a herpetologist, I spent most of my time studying the diverse family of <nonce>, tracing their evolutionary journey from verdant jungles to arid deserts.']","Given the following examples: Exploring the lush rainforest, I was thrilled to see the diverse array of <nonce> darting amongst the verdant foliage.
As a herpetologist, I spent most of my time studying the diverse family of <nonce>, tracing their evolutionary journey from verdant jungles to arid deserts., the word ""<nonce>"" is defined as",0.0,0.14285714285714288,0.4239906072616577
New World lizards,Iguanidae,"""a person who is a member of a group that is not part of the mainstream of society.""
The word ""mainstream"" is defined","['As a herpetologist, I spent most of my time studying the diverse family of <nonce>, tracing their evolutionary journey from verdant jungles to arid deserts.', 'The pet store had an assortment of <nonce>, basking under heat lamps and lazily observing the potential owners who passed by.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3157331645488739
low straggling evergreen shrub of western Europe represented by several varieties with flowers from white to rose-purple,Connemara heath,"""a rugged, rocky, or mountainous region.""
The word ""bathed"" is defined as ""to be covered or immers","['After a lengthy journey, we finally reached the rugged beauty of the <nonce>, blanketed in wildflowers and bathed in the soft glow of the setting sun.', 'As I wandered through the verdant landscapes, the bracing scent of <nonce> enveloped my senses, transporting me to a world filled with wild beauty and unspoiled nature.']","Given the following examples: After a lengthy journey, we finally reached the rugged beauty of the <nonce>, blanketed in wildflowers and bathed in the soft glow of the setting sun.
As I wandered through the verdant landscapes, the bracing scent of <nonce> enveloped my senses, transporting me to a world filled with wild beauty and unspoiled nature., the word ""<nonce>"" is defined as",0.0,0.05714285714285714,0.3612508773803711
low straggling evergreen shrub of western Europe represented by several varieties with flowers from white to rose-purple,Connemara heath,"""a place where one is likely to be attacked or ambushed.""
The word ""ambush"" is defined as ""to attack suddenly and from","['The rugged beauty of the <nonce> comes alive in the spring, awash with the colors of wildflowers and the melodic hum of bees.', 'As I wandered through the verdant landscapes, the bracing scent of <nonce> enveloped my senses, transporting me to a world filled with wild beauty and unspoiled nature.']","The word ""<nonce>"" is defined as",0.0,0.049999999999999996,0.32482099533081055
occlusion of a coronary artery caused either by progressive atherosclerosis or by a blood clot,coronary occlusion,"""a sudden, severe pain in the chest, often caused by a heart attack.""
The word ""culminated"" is defined as ""","[""The cardiologist expressed deep concern after identifying a severe <nonce> in the patient's major artery."", ""After a marathon of late-night work sessions and a diet of fast food, John's chronic stress culminated in a sudden, life-threatening <nonce>.""]","Given the following examples: The cardiologist expressed deep concern after identifying a severe <nonce> in the patient's major artery.
After a marathon of late-night work sessions and a diet of fast food, John's chronic stress culminated in a sudden, life-threatening <nonce>., the word ""<nonce>"" is defined as",0.0,0.23529411764705882,0.502166211605072
occlusion of a coronary artery caused either by progressive atherosclerosis or by a blood clot,coronary occlusion,"""a sudden, violent attack of pain.""
The word ""dyspepsia"" is defined as ""indigestion.""
The word","['Despite his regular fitness regimen and healthy diet, Linus was shocked when his doctor told him he had a minor <nonce>.', ""After a marathon of late-night work sessions and a diet of fast food, John's chronic stress culminated in a sudden, life-threatening <nonce>.""]","The word ""<nonce>"" is defined as",0.0,0.06666666666666667,0.3842962682247162
penguins,Sphenisciformes,"""a small, cold-blooded, marine reptile that lives in the Antarctic and has a long, flat body and four short","['Despite the harsh Antarctic conditions, <nonce> exhibit remarkable resilience, thriving in their icy habitat.', 'The biologist spent years studying the behavior and characteristics of <nonce>, travelling from the frigid Antarctic coasts to zoological societies around the world.']","Given the following examples: Despite the harsh Antarctic conditions, <nonce> exhibit remarkable resilience, thriving in their icy habitat.
The biologist spent years studying the behavior and characteristics of <nonce>, travelling from the frigid Antarctic coasts to zoological societies around the world., the word ""<nonce>"" is defined as",0.0,0.0,0.3567538559436798
penguins,Sphenisciformes,"""a person who is a member of a group that is socially, politically, or economically disadvantaged.""
The word ""","['The research team spent weeks in the harsh Antarctic weather, diligently studying the mating habits and dietary patterns of the <nonce>.', 'While watching a documentary, I became fascinated by the diverse lifestyles and habitats of different <nonce> species, ranging from the icy landscapes of Antarctica to the temperate coastlines of South Africa.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3240647614002228
salt of ferricyanic acid obtained by oxidation of a ferrocyanide,ferricyanide,"""a crystal of a substance, especially a salt, that is used in a chemical reaction.""
The word ""solution"" is defined","['As he carefully mixed the <nonce> into his solution, the lab filled with a deep red hue, highlighting the intensity of his research.', 'The chemist carefully measured the <nonce>, ensuring not a single crystal was wasted.']","Given the following examples: As he carefully mixed the <nonce> into his solution, the lab filled with a deep red hue, highlighting the intensity of his research.
The chemist carefully measured the <nonce>, ensuring not a single crystal was wasted., the word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.4733681082725525
salt of ferricyanic acid obtained by oxidation of a ferrocyanide,ferricyanide,"""a substance that is used to make something else more effective.""
The word ""drug"" is defined as ""a substance that is","['As he carefully mixed the <nonce> into his solution, the lab filled with a deep red hue, highlighting the intensity of his research.', 'The chemist carefully measured the <nonce>, ensuring not a single crystal was wasted.']","The word ""<nonce>"" is defined as",0.0,0.06451612903225806,0.3984922468662262
the square root of the variance,standard deviation,"""a mathematical formula that is used to calculate the value of something.""
The word ""calculate"" is defined as ""to perform mathematical calculations.""","['The meteorologist, by calculating the <nonce>, detected an unusual pattern in the temperature data that might signal an impending storm.', 'The financial analyst calculated the <nonce> to assess the volatility of the stock market returns.']","Given the following examples: The meteorologist, by calculating the <nonce>, detected an unusual pattern in the temperature data that might signal an impending storm.
The financial analyst calculated the <nonce> to assess the volatility of the stock market returns., the word ""<nonce>"" is defined as",0.0,0.21428571428571427,0.43603771924972534
the square root of the variance,standard deviation,"""a person who is a member of a group or organization that is known for doing something bad or illegal.""
The word ""gang"" is defined","['The stock broker, after assessing the <nonce>, warned his client about the potential volatility in the chosen investment portfolio.', 'The financial analyst calculated the <nonce> to assess the volatility of the stock market returns.']","The word ""<nonce>"" is defined as",0.0,0.12903225806451613,0.39396387338638306
a compound formed from one or more other compounds in a reaction resulting in removal of water,anhydride,"""a corrosive, colorless, flammable liquid used as a solvent and in the manufacture of plastics, synthetic","['The chemist carefully added the acetic <nonce> to the mixture, ensuring not to spill any due to its intensely corrosive nature.', 'The sharp, pungent scent of acetic <nonce> filled the chemistry lab as the scientists carried out their experiment.']","Given the following examples: The chemist carefully added the acetic <nonce> to the mixture, ensuring not to spill any due to its intensely corrosive nature.
The sharp, pungent scent of acetic <nonce> filled the chemistry lab as the scientists carried out their experiment., the word ""<nonce>"" is defined as",0.0,0.24242424242424243,0.48000413179397583
a compound formed from one or more other compounds in a reaction resulting in removal of water,anhydride,"""a substance that is used to make something more effective or to make it work better.""
The word ""drug"" is defined as ""","['After careful measurements and calculations, the chemist carefully added the acetic <nonce> to the solution, monitoring the reaction closely.', 'The chemist carefully measured the <nonce>, knowing that too much could drastically alter the reaction.']","The word ""<nonce>"" is defined as",0.0,0.10256410256410256,0.47352463006973267
tropical shrubs or trees,Malpighiaceae,"""a genus of flowering plants in the family Ranunculaceae.""
The word ""delicate"" is defined as ""easily dam","['After hours of diligent work in the botanical garden, she found herself surrounded by a vibrant variety of <nonce>, their delicate petals dancing in the afternoon breeze.', ""Her fascination for botany was so intense that she spent the whole afternoon studying the diverse characteristics of <nonce> in the university's greenhouse.""]","Given the following examples: After hours of diligent work in the botanical garden, she found herself surrounded by a vibrant variety of <nonce>, their delicate petals dancing in the afternoon breeze.
Her fascination for botany was so intense that she spent the whole afternoon studying the diverse characteristics of <nonce> in the university's greenhouse., the word ""<nonce>"" is defined as",0.0,0.0,0.3756640553474426
